product_code,normalized_group,normalized_part_type,normalized_category_name,ai_candidate_yn,source_rule,confidence,reviewed_yn
101254,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
96964,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
99509,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
100099,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
103726,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
102560,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
100575,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
67158,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
92738,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
102561,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
97419,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
99710,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
99711,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
100097,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
102559,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
102558,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
102565,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
77542,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
101786,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
77276,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
100221,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
84966,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
86286,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
95850,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
93782,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
101262,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,1,FALSE
90288,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
88903,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
96151,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
84974,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
67168,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
96419,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
85564,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
85563,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
86280,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
84991,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
96147,service,ASSEMBLY_SERVICE,조립/AS 서비스,FALSE,product_name:조립비|출장|A/S|AS|무상출장|택배서비스|제작 및 테스트|발포제,0.88,FALSE
