product_code,detected_group,detected_part_type,detected_confidence,conflict_reason,review_status
113306,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119453,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119424,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
112851,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
116453,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112850,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
116452,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119478,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119509,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
112572,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
113408,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119917,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
119696,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
113412,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113407,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112570,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
113411,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
115365,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112396,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
112408,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
112395,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
112409,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
125178,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
125184,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
124590,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
124598,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123794,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123803,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123574,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123588,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123293,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123282,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123294,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123283,service,ASSEMBLY_SERVICE,0.88,원본 카테고리와 상품명 분류 충돌: GPU,대기
123360,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123285,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
123361,core_part,GPU,0.98,"AI 추천 후보 필수 product_specs 누락: length_mm, tdp_watt|required_power_watt",대기
